game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
823076 BOS@STL,2026-04-11T01:03:21.116Z,3,bot,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.42,0.4038,-0.027,0.0162,1190,500.0,0.0162,True,19.28
823076 BOS@STL,2026-04-11T01:03:41.740Z,3,bot,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.65,0.672,0.0366,0.022,769,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T01:04:41.795Z,3,bot,OUT,Lineout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.37,0.3582,-0.0197,0.0118,1351,500.0,0.02,False,27.02
823076 BOS@STL,2026-04-11T01:05:37.321Z,3,bot,BB,Hit By Pitch,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.64,0.6561,0.0269,0.0161,781,500.0,0.01,False,7.81
823076 BOS@STL,2026-04-11T01:11:13.652Z,4,top,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.61,0.5818,-0.047,0.0282,819,500.0,0.0282,True,23.1
823076 BOS@STL,2026-04-11T01:13:15.572Z,4,top,OUT,Flyout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.59,0.6097,0.0329,0.0197,847,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T01:15:25.062Z,4,top,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.57,0.5051,-0.1081,0.0649,877,500.0,-0.06,False,-52.62
823076 BOS@STL,2026-04-11T01:16:34.789Z,4,top,OUT,Forceout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.35,0.3321,-0.0299,0.0179,1428,500.0,0.0179,True,25.56
823076 BOS@STL,2026-04-11T01:20:26.397Z,4,top,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.46,0.3893,-0.1178,0.0707,1086,500.0,-0.02,False,-21.72
823076 BOS@STL,2026-04-11T01:21:43.304Z,4,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.44,0.4861,0.0768,0.0461,1136,500.0,-0.07,False,-79.52
823076 BOS@STL,2026-04-11T01:24:54.279Z,4,bot,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.37,0.3472,-0.038,0.0228,1351,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T01:27:26.310Z,4,bot,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.36,0.3829,0.0382,0.0229,1388,500.0,0.0229,True,31.79
823076 BOS@STL,2026-04-11T01:29:03.830Z,4,bot,OUT,Groundout,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.15,0.136,-0.0234,0.014,3333,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T01:36:02.687Z,5,top,OUT,Lineout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.33,0.3452,0.0254,0.0152,1515,500.0,0.0153,True,23.18
823076 BOS@STL,2026-04-11T01:36:27.019Z,5,top,OUT,Pop Out,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.35,0.3609,0.0182,0.0109,1428,500.0,0.01,False,14.28
823076 BOS@STL,2026-04-11T01:40:40.513Z,5,bot,OUT,Flyout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.36,0.34,-0.0333,0.02,1388,500.0,0.02,True,27.76
823076 BOS@STL,2026-04-11T01:44:17.378Z,5,bot,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.33,0.356,0.0433,0.026,1515,500.0,0.026,True,39.39
823076 BOS@STL,2026-04-11T01:44:57.235Z,5,bot,BB,Walk,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.36,0.4064,0.0773,0.0464,1388,500.0,0.0464,True,64.4
823076 BOS@STL,2026-04-11T01:47:54.772Z,5,bot,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.37,0.4677,0.1628,0.0977,1351,500.0,0.0977,True,131.99
823076 BOS@STL,2026-04-11T01:48:57.878Z,5,bot,OUT,Sac Fly,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.58,0.6026,0.0377,0.0226,862,500.0,0.0226,True,19.48
823076 BOS@STL,2026-04-11T01:55:08.286Z,6,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.67,0.6919,0.0365,0.0219,746,500.0,0.0219,True,16.34
823076 BOS@STL,2026-04-11T01:56:17.189Z,6,top,K,Strikeout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.71,0.7276,0.0294,0.0176,704,500.0,0.0176,True,12.39
